x0,x1,Start,Duration
-4.9637,-5.0372,915.6247,0.0216
-5.1162,-5.1403,915.6463,0.2651
-4.9333,-4.9233,915.7077,0.0826
-4.7665,-5.0372,915.7903,0.4464
-4.9158,-6.0272,915.8296,8.1464
-6.2948,-5.1239,915.9114,12.6590
-4.9969,-4.8388,916.1107,0.2077
-5.0061,-4.8388,916.2367,0.2079
-4.9969,-4.8388,916.3184,0.2077
-3.9913,-4.8388,916.3665,8.0093
-4.9637,-5.0372,916.4277,0.0216
-4.4914,-4.8572,916.4446,2.2078
-5.0061,-4.9579,916.4493,0.0145
-4.6266,-4.9579,916.4638,1.1233
-4.9969,-4.8493,916.5261,0.1817
-5.2292,-5.2499,916.5489,0.9159
-5.6262,-4.9676,916.6142,3.0969
-4.8264,-5.0372,916.7078,0.2518
-5.5322,-4.8388,916.8512,2.4430
-4.9969,-4.1488,916.9596,5.6319
-5.0061,-4.8388,917.4616,0.2079
-4.9969,-4.4453,917.4648,2.4316
-5.0061,-4.8388,917.4786,0.2079
-5.5805,-5.4041,917.5284,3.9233
-4.9922,-4.4882,917.5871,2.0743
-5.1189,-4.8388,917.5977,0.3204
-4.9941,-4.8572,917.6695,0.1633
-4.7498,-4.8493,917.6865,0.6802
-5.0061,-4.8388,917.8328,0.2079
-5.0303,-4.8388,917.9181,0.2149
-5.1754,-4.6317,918.0010,1.3224
-4.4263,-5.1450,918.0407,2.7623
-4.9922,-4.8902,918.0536,0.0969
-4.9922,-5.1101,918.1331,0.0974
-5.0061,-4.6648,918.1505,0.8950
-5.0928,-4.8388,918.2305,0.2763
-4.9922,-4.9233,918.3667,0.0476
-4.9969,-4.8388,918.4143,0.2077
-4.9922,-4.9233,918.4199,0.0476
-4.9969,-5.0743,918.4675,0.0443
-4.9941,-3.9328,918.5068,8.7089
-5.9846,-4.5348,918.5117,9.0504
-4.9922,-5.9555,918.6220,7.0437
-4.9969,-5.0719,918.6524,0.0414
-5.2822,-4.2559,918.6938,4.9398
-4.9969,-4.8388,919.0454,0.2077
-4.9922,-5.9033,919.2531,6.3203
-4.9969,-5.5462,919.2942,2.3587
-4.9969,-4.5843,919.3234,1.3733
-4.9969,-4.2457,919.3615,4.4495
-4.9969,-5.2404,919.6071,0.4612
-5.0696,-4.9579,919.6614,0.0529
-4.5352,-4.0240,919.6657,8.9256
-5.1069,-5.2680,919.7112,0.6637
