x0,x1,Duration
0.5588,-0.3814,15.0263
1.1182,1.2159,14.0814
-0.8008,1.4637,14.8803
1.3410,0.8168,14.1952
1.8810,-0.7471,14.7530
0.6675,-0.1440,14.9059
1.7504,1.0673,13.7739
1.7693,-2.8570,15.2347
-1.4556,1.7680,14.9861
1.6031,-0.9517,14.8900
0.4876,-0.5873,15.1226
-0.9277,-0.8745,15.9819
0.3720,-0.0798,14.9863
0.7967,2.9884,13.2460
-0.9270,2.4745,14.6843
-1.8345,1.9041,15.0378
-2.0318,-1.9007,18.4333
-1.0668,0.6577,15.2197
0.0656,-1.7031,15.7679
-0.0742,-0.1700,15.1828
1.0607,-0.5968,14.9326
-0.5259,0.8464,14.9777
0.7471,-0.8455,15.1156
-1.2159,-0.9796,16.2831
1.5445,1.4210,13.6373
2.9798,0.9926,13.0088
-0.0045,1.5678,14.5391
-1.7891,0.9946,15.3016
-2.0869,0.3731,15.7230
-0.5497,-0.8881,15.7422
0.2184,1.6654,14.3889
-0.7026,0.7063,15.0834
-1.1745,-0.6567,15.9920
-1.2406,-0.2990,15.7796
-0.1349,-1.2041,15.6573
-0.5344,-1.2324,15.9388
-1.2532,1.2762,15.0644
-1.2580,0.6684,15.2772
2.4832,-0.5845,14.5387
0.5532,1.3356,14.3491
0.3360,-0.2144,15.0468
-2.7891,-2.0414,20.0351
0.3758,-0.0818,14.9856
-0.1659,-0.3118,15.2749
-0.8674,-0.1049,15.4835
0.3253,1.6185,14.3493
2.1319,-0.2742,14.4835
0.9305,0.2848,14.6474
-2.2559,0.4119,15.7612
-0.8886,0.2669,15.3177
1.0826,-0.5989,14.9264
1.7163,0.4056,14.2595
-1.9082,-0.6286,16.4963
0.8989,-0.3970,14.9169
-1.0438,0.1943,15.4105
-0.8747,0.5486,15.1979
2.0509,-0.9687,14.7882
2.4130,-1.4211,14.8501
-1.2722,2.7724,14.7504
-1.7610,0.5199,15.5144
-1.5514,1.8507,14.9897
1.3224,-0.0648,14.6519
1.7973,0.6255,14.0774
1.8277,-0.2175,14.5513
-0.9325,0.7541,15.1409
1.4134,-0.4164,14.7622
1.4405,0.8336,14.1306
0.4233,-0.6796,15.1787
1.2999,-0.2293,14.7263
-1.3298,-0.7974,16.2154
0.0593,-0.6512,15.3161
1.4629,0.2163,14.4710
-1.8668,0.2768,15.6986
-0.3530,-0.2654,15.3336
0.2575,-2.5979,16.0195
-0.7903,-0.2580,15.5264
2.4416,0.0806,14.1681
-0.8603,-0.5627,15.7342
0.6472,-0.6263,15.0786
-0.7092,-0.3146,15.5170
0.5440,0.5264,14.6996
0.6540,0.7041,14.5819
-2.9972,-0.2583,16.7946
-0.7633,0.6130,15.1366
-1.1222,-0.8971,16.1407
0.5502,0.3252,14.7749
0.1400,-3.1040,16.3513
0.1965,-1.6826,15.6726
-1.3177,-2.2509,17.7635
-0.7868,-1.6729,16.4759
0.7695,-0.3107,14.9299
0.8034,-0.5957,15.0151
0.0561,-0.9259,15.4290
-0.1637,-2.3043,16.2746
-0.1780,-1.5638,15.8705
1.5635,0.2330,14.4222
-1.6478,-1.8549,17.7602
0.3301,0.2636,14.8781
0.8217,-0.0862,14.8321
-1.5332,1.3059,15.1278
-1.5375,0.8430,15.2923
0.8812,0.7893,14.4414
1.0852,4.7739,12.0779
-0.2473,0.1741,15.1177
-1.3883,-0.0121,15.6708
2.3952,1.1440,13.2405
0.7031,-0.7070,15.0859
1.4488,-1.1343,14.9833
-1.1426,-0.3939,15.7879
-1.8357,0.0832,15.8177
-0.0797,-1.7002,15.8700
-0.5984,0.2362,15.2225
-0.1460,1.9789,14.4670
4.3142,-0.1875,13.8836
3.4777,2.7713,9.4169
0.6983,-1.9219,15.4741
0.4103,0.4991,14.7617
-1.8994,0.1409,15.8056
1.6935,-0.2272,14.5987
0.0641,0.5901,14.8577
-0.2118,-0.6486,15.4382
0.0403,-0.8551,15.4072
-0.8633,0.7610,15.1164
-0.4122,-1.9524,16.3046
1.7291,-1.3603,14.9719
1.9589,-0.3091,14.5531
-0.1946,0.5465,14.9656
-2.2461,0.5944,15.6370
-0.0318,-0.4853,15.2889
